# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FHX
# 
  391,20180801,   30
  391,20180802,   30
  391,20180803,   30
  391,20180804,   50
  391,20180805,   40
  391,20180806,   30
  391,20180807,   20
  391,20180808,   50
  391,20180809,   80
  391,20180810,   60
  391,20180811,   30
  391,20180812,   30
  391,20180813,   40
  391,20180814,   30
  391,20180815,   30
  391,20180816,   30
  391,20180817,   30
  391,20180818,   40
  391,20180819,   40
  391,20180820,   20
  391,20180821,   10
  391,20180822,   20
  391,20180823,   30
  391,20180824,   40
  391,20180825,   40
  391,20180826,   40
  391,20180827,   60
  391,20180828,   20
  391,20180829,   40
  391,20180830,   20
  391,20180831,   30
  391,20180901,   30
  391,20180902,   50
  391,20180903,   30
  391,20180904,   30
  391,20180905,   20
  391,20180906,   20
  391,20180907,   40
  391,20180908,   40
  391,20180909,   30
  391,20180910,   30
  391,20180911,   60
  391,20180912,   40
  391,20180913,   30
  391,20180914,   30
  391,20180915,   30
  391,20180916,   30
  391,20180917,   20
  391,20180918,   50
  391,20180919,   50
  391,20180920,   50
  391,20180921,   70
  391,20180922,   50
  391,20180923,   50
  391,20180924,   30
  391,20180925,   20
  391,20180926,   30
  391,20180927,   30
  391,20180928,   60
  391,20180929,   30
  391,20180930,   20
  391,20181001,   30
  391,20181002,   40
  391,20181003,   20
  391,20181004,   40
  391,20181005,   20
  391,20181006,   30
  391,20181007,   50
  391,20181008,   10
  391,20181009,   20
  391,20181010,   40
  391,20181011,   40
  391,20181012,   40
  391,20181013,   50
  391,20181014,   70
  391,20181015,   30
  391,20181016,   20
  391,20181017,   20
  391,20181018,   40
  391,20181019,   40
  391,20181020,   20
  391,20181021,   30
  391,20181022,   50
  391,20181023,   40
  391,20181024,   30
  391,20181025,   20
  391,20181026,   40
  391,20181027,   30
  391,20181028,   60
  391,20181029,   50
  391,20181030,   90
  391,20181031,   50
  391,20181101,   40
  391,20181102,   40
  391,20181103,   20
  391,20181104,   30
  391,20181105,   30
  391,20181106,   40
  391,20181107,   50
  391,20181108,   30
  391,20181109,   30
  391,20181110,   50
  391,20181111,   60
  391,20181112,   20
  391,20181113,   60
  391,20181114,   30
  391,20181115,   30
  391,20181116,   40
  391,20181117,   50
  391,20181118,   50
  370,20180801,   40
  370,20180802,   50
  370,20180803,   50
  370,20180804,   70
  370,20180805,   50
  370,20180806,   50
  370,20180807,   90
  370,20180808,   90
  370,20180809,  120
  370,20180810,   80
  370,20180811,   60
  370,20180812,   50
  370,20180813,   60
  370,20180814,   60
  370,20180815,   60
  370,20180816,   50
  370,20180817,   40
  370,20180818,   50
  370,20180819,   70
  370,20180820,   40
  370,20180821,   30
  370,20180822,   40
  370,20180823,   60
  370,20180824,   70
  370,20180825,   70
  370,20180826,   70
  370,20180827,   80
  370,20180828,   30
  370,20180829,   50
  370,20180830,   50
  370,20180831,   40
  370,20180901,   30
  370,20180902,   50
  370,20180903,   30
  370,20180904,   40
  370,20180905,   40
  370,20180906,   50
  370,20180907,   70
  370,20180908,   60
  370,20180909,   50
  370,20180910,   50
  370,20180911,  100
  370,20180912,   60
  370,20180913,   30
  370,20180914,   50
  370,20180915,   50
  370,20180916,   40
  370,20180917,   40
  370,20180918,   90
  370,20180919,   80
  370,20180920,   80
  370,20180921,   90
  370,20180922,   70
  370,20180923,   60
  370,20180924,   70
  370,20180925,   30
  370,20180926,   50
  370,20180927,   40
  370,20180928,   70
  370,20180929,   30
  370,20180930,   40
  370,20181001,   70
  370,20181002,   70
  370,20181003,   50
  370,20181004,   50
